snapshot_date,tag,published_at,asset,download_count,size
2026-04-15,"v0.8.8","2026-04-11T20:48:00Z","Kirodex_0.8.8_amd64.AppImage.sig",1,420
2026-04-15,"v0.8.8","2026-04-11T20:48:00Z","Kirodex_0.8.8_amd64.deb",1,4668926
2026-04-15,"v0.8.8","2026-04-11T20:48:00Z","Kirodex_0.8.8_amd64.deb.sig",1,412
2026-04-15,"v0.8.8","2026-04-11T20:48:00Z","Kirodex_0.8.8_x64-setup.exe",2,3354045
2026-04-15,"v0.8.8","2026-04-11T20:48:00Z","Kirodex_0.8.8_x64-setup.exe.sig",1,416
2026-04-15,"v0.8.8","2026-04-11T20:48:00Z","Kirodex_0.8.8_x64_en-US.msi",1,4386816
2026-04-15,"v0.8.8","2026-04-11T20:48:00Z","Kirodex_0.8.8_x64_en-US.msi.sig",1,416
2026-04-15,"v0.8.8","2026-04-11T20:48:00Z","Kirodex_aarch64.app.tar.gz",2,4019610
2026-04-15,"v0.8.8","2026-04-11T20:48:00Z","Kirodex_aarch64.app.tar.gz.sig",1,404
2026-04-15,"v0.8.8","2026-04-11T20:48:00Z","latest.json",36,5544
2026-04-15,"v0.8.7","2026-04-11T20:24:05Z","Kirodex-0.8.7-1.x86_64.rpm",0,4669519
2026-04-15,"v0.8.7","2026-04-11T20:24:05Z","Kirodex-0.8.7-1.x86_64.rpm.sig",0,416
2026-04-15,"v0.8.7","2026-04-11T20:24:05Z","Kirodex_0.8.7_aarch64.dmg",3,3915536
2026-04-15,"v0.8.7","2026-04-11T20:24:05Z","Kirodex_0.8.7_amd64.AppImage",0,84105720
2026-04-15,"v0.8.7","2026-04-11T20:24:05Z","Kirodex_0.8.7_amd64.AppImage.sig",0,420
2026-04-15,"v0.8.7","2026-04-11T20:24:05Z","Kirodex_0.8.7_amd64.deb",0,4668922
2026-04-15,"v0.8.7","2026-04-11T20:24:05Z","Kirodex_0.8.7_amd64.deb.sig",0,412
2026-04-15,"v0.8.7","2026-04-11T20:24:05Z","Kirodex_0.8.7_x64-setup.exe",0,3353530
2026-04-15,"v0.8.7","2026-04-11T20:24:05Z","Kirodex_0.8.7_x64-setup.exe.sig",0,416
2026-04-15,"v0.8.7","2026-04-11T20:24:05Z","Kirodex_0.8.7_x64_en-US.msi",0,4386816
2026-04-15,"v0.8.7","2026-04-11T20:24:05Z","Kirodex_0.8.7_x64_en-US.msi.sig",0,416
2026-04-15,"v0.8.7","2026-04-11T20:24:05Z","Kirodex_aarch64.app.tar.gz",0,4019618
2026-04-15,"v0.8.7","2026-04-11T20:24:05Z","Kirodex_aarch64.app.tar.gz.sig",0,404
2026-04-15,"v0.8.7","2026-04-11T20:24:05Z","latest.json",2,5544
2026-04-15,"v0.8.6","2026-04-11T20:01:24Z","Kirodex-0.8.6-1.x86_64.rpm",0,4669520
2026-04-15,"v0.8.6","2026-04-11T20:01:24Z","Kirodex-0.8.6-1.x86_64.rpm.sig",0,416
2026-04-15,"v0.8.6","2026-04-11T20:01:24Z","Kirodex_0.8.6_aarch64.dmg",1,3915541
2026-04-15,"v0.8.6","2026-04-11T20:01:24Z","Kirodex_0.8.6_amd64.AppImage",0,84105720
2026-04-15,"v0.8.6","2026-04-11T20:01:24Z","Kirodex_0.8.6_amd64.AppImage.sig",0,420
2026-04-15,"v0.8.6","2026-04-11T20:01:24Z","Kirodex_0.8.6_amd64.deb",0,4668920
2026-04-15,"v0.8.6","2026-04-11T20:01:24Z","Kirodex_0.8.6_amd64.deb.sig",0,412
2026-04-15,"v0.8.6","2026-04-11T20:01:24Z","Kirodex_0.8.6_x64-setup.exe",0,3353597
2026-04-15,"v0.8.6","2026-04-11T20:01:24Z","Kirodex_0.8.6_x64-setup.exe.sig",0,416
2026-04-15,"v0.8.6","2026-04-11T20:01:24Z","Kirodex_0.8.6_x64_en-US.msi",0,4386816
2026-04-15,"v0.8.6","2026-04-11T20:01:24Z","Kirodex_0.8.6_x64_en-US.msi.sig",0,416
2026-04-15,"v0.8.6","2026-04-11T20:01:24Z","Kirodex_aarch64.app.tar.gz",0,4019605
2026-04-15,"v0.8.6","2026-04-11T20:01:24Z","Kirodex_aarch64.app.tar.gz.sig",0,404
